Economic Sector,Business Sector,Industry Group,Activity
Energy,Energy - Fossil Fuels,Coal,Coal (NEC)
,,,Coal Mining Support
,,,Coal Wholesale
,,Oil & Gas,Integrated Oil & Gas
,,,Oil & Gas Exploration and Production (NEC)
,,,Oil Exploration & Production - Onshore
,,,Oil Exploration & Production - Offshore
,,,Natural Gas Exploration & Production - Onshore
,,,Natural Gas Exploration & Production - Offshore
,,,Unconventional Oil & Gas Production
,,,Oil & Gas Refining and Marketing (NEC)
,,,Petroleum Refining
,,,Gasoline Stations
,,,Petroleum Product Wholesale
,,Oil & Gas Related Equipment and Services,Oil & Gas Drilling (NEC)
,,,Oil Drilling - Onshore
,,,Gas Drilling - Onshore
,,,Oil Drilling - Offshore
,,,Gas Drilling - Offshore
,,,Unconventional Oil & Gas Drilling
,,,Oil Related Services and Equipment (NEC)
,,,Oil Related Services
,,,Oil Related Equipment
,,,Oil Related - Surveying & Mapping Services
,,,Oil & Gas Transportation Services (NEC)
,,,LNG Transportation & Storage
,,,Natural Gas Pipeline Transportation
,,,Oil Pipeline Transportation
,,,Sea-Borne Tankers
,,,Oil & Gas Storage
,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services (NEC)
,,,Wind Systems & Equipment
,,,Stationary Fuel Cells
,,,Photovoltaic Solar Systems & Equipment
,,,Thermal Solar Systems & Equipment
,,,Biomass Power Energy Equipment
,,,Waste to Energy Systems & Equipment
,,,Hydropower Equipment
,,,Wave Power Energy Equipment
,,,Renewable Energy Services
,,,Geothermal Equipment
,,,Renewable Fuels (NEC)
,,,Biodiesel
,,,Ethanol Fuels
,,,Pyrolytic & Synthetic Fuels
,,,Biomass & Biogas Fuels
,,,Hydrogen Fuel
,Uranium,Uranium,Uranium (NEC)
,,,Uranium Mining
,,,Uranium Processing
Basic Materials,Chemicals,Chemicals,Commodity Chemicals (NEC)
,,,Plastics
,,,Paints & Coatings
,,,Tanning & Softening Agents
,,,Explosives
,,,Industrial Gases
,,,Commodity Chemicals Wholesale
,,,Glass
,,,Agricultural Chemicals (NEC)
,,,Fertilizers
,,,Pesticides
,,,Organic Fertilizers
,,,Agricultural Chemicals Wholesale
,,,Specialty Chemicals (NEC)
,,,Coloring Agents
,,,Synthetic Fibers
,,,Advanced Polymers
,,,Industrial Biotechnology Chemicals
,,,Specialty Chemicals Wholesale
,,,Composites
,,,Adhesive & Epoxy
,,,Diversified Chemicals
,Mineral Resources,Metals & Mining,Non-Gold Precious Metals & Minerals (NEC)
,,,Silver Mining
,,,Platinum Mining
,,,Diamond Mining
,,,Semiprecious Gem Stones
,,,Pearl Cultivation
,,,Rare Earth Minerals
,,,Iron & Steel (NEC)
,,,Iron Ore Mining
,,,Coke Coal Mining
,,,"Iron, Steel Mills & Foundries"
,,,Metal Service Centers
,,,Metallic Rolling & Drawing Products
,,,Metal Merchant Wholesale
,,,Aluminum (NEC)
,,,Primary Aluminum Production
,,,Secondary Smelting & Alloying of Aluminum
,,,Aluminum Rolling
,,,Aluminum Refining
,,,Aluminum Wholesale
,,,Bauxite Mining
,,,Specialty Mining & Metals (NEC)
,,,Lead Ore Mining
,,,Copper Ore Mining
,,,Nickel Ore Mining
,,,Zinc Ore Mining
,,,Nonferrous Metal Mining
,,,Nonferrous Metal Processing
,,,Specialty Mining & Metals Wholesale
,,,Gold (NEC)
,,,Gold Mining
,,,Gold Refining
,,,Mining Support Services & Equipment (NEC)
,,,Geophysical Surveying & Mapping Services
,,,Mining Support Services
,,,Mining Machinery & Equipment Manufacturing
,,,Diversified Mining
,,Construction Materials,Construction Materials (NEC)
,,,Construction Material Processing
,,,Cement & Concrete Manufacturing
,,,Tile & Paving Material Manufacturing
,,,Rock Mining
,,,Construction Material Wholesale
,Applied Resources,Paper & Forest Products,Forest & Wood Products (NEC)
,,,Timber Tract Operations
,,,Forest Nurseries & Gathering of Forest Products
,,,Logging & Sawmills
,,,Forest Support & Services
,,,Wood Products
,,,Wood Product Wholesale
,,,Paper Products (NEC)
,,,Paper Mills & Products
,,,Newsprint Mills
,,,Pulp Mills
,,,Paper Product Wholesale
,,Containers & Packaging,Non-Paper Containers & Packaging (NEC)
,,,Textile Containers & Packaging
,,,Glass Containers & Packaging
,,,Metal Containers & Packaging
,,,Plastic Containers & Packaging
,,,Wood Container & Packaging
,,,Container & Packaging Material Wholesale
,,,Paper Packaging (NEC)
,,,Paper Packaging Wholesale
Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense (NEC)
,,,Arms & Ammunitions Manufacturing
,,,Commercial Aircraft Manufacturing
,,,Military Aircraft Manufacturing
,,,Aircraft Parts Manufacturing
,,,Military Vehicles Manufacturing
,,,Satellite Design & Manufacture
,,,Spacecraft Manufacturing
,,,Military Clothing & Accessories
,,,Aircraft Equipment Wholesale
,,,Aerospace & Defense Electronics
,,,Drone Manufacturing
,,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment (NEC)
,,,Industrial Components
,,,Industrial Machinery
,,,Ball & Roller Bearings
,,,Testing & Measuring Equipment
,,,Pump & Pumping Equipment
,,,Air & Gas Compressors
,,,Welding & Soldering Equipment
,,,Industrial Process Furnace & Ovens
,,,Fluid Power Cylinder & Actuators
,,,Automatic Vending Machines
,,,Industrial Moulds
,,,Machine Tools
,,,Industrial Valve Manufacturing
,,,Industrial Machinery & Equipment Wholesale
,,,Commercial Equipment
,,,Heavy Machinery & Vehicles (NEC)
,,,Construction Machinery
,,,Heavy Trucks
,,,Heavy Buses & Coaches
,,,Locomotive Engines & Rolling Stock
,,,Agricultural Machinery
,,,Commercial Landscaping Equipment
,,,Heavy Machinery & Vehicles Wholesale
,,,Electrical Components & Equipment (NEC)
,,,Batteries & Uninterruptable Power Supplies
,,,Wires & Cables
,,,Electrical Components
,,,Lighting Equipment
,,,"Heating, Ventilation & Air Conditioning Systems"
,,,Electrical Insulators
,,,Switchgear
,,,Portable Motors & Generators
,,,Electrical Measuring & Testing Instruments
,,,Electric Equipment Wholesale
,,,Heavy Electrical Equipment (NEC)
,,,Electrical Transmission & Grid Equipment
,,,Elevator & Conveying Equipment
,,,Turbine Manufacturing
,,,Heavy Motors & Generators
,,,Industrial Electrical Switchgear
,,,Nuclear Generators & Components
,,,Shipbuilding (NEC)
,,,Ship Parts Manufacturers
,,,Ship Repairing & Maintenance
,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering (NEC)
,,,Commercial Buildings
,,,Highway & Bridge Construction
,,,Railway Construction
,,,Power & Communications Network Construction
,,,Civil Engineers & Architects
,,,Building Contractors
,,,Industrial Plant Construction
,,,Water & Sewage Construction
,,,Land Division & Subdivision
,,,Gas Infrastructure Construction
,,,Electric Power Plant Construction
,,,Nuclear Power Plant Construction
,,,Telecommunication Construction
,,Diversified Industrial Goods Wholesale,Diversified Industrial Goods Wholesale
,,Professional & Commercial Services,Environmental Services & Equipment (NEC)
,,,Purification & Treatment Equipment
,,,"Waste Management, Disposal & Recycling Services"
,,,Environmental Consultancy Services
,,,Environmental R&D Services & Biotechnology
,,,Carbon Capture & Storage
,,,Commercial Printing Services (NEC)
,,,Specialized Printing Services
,,,Newspaper & Magazine Printing Services
,,,Book Printing Services
,,,Employment Services (NEC)
,,,Human Resources Consulting Services
,,,Outsourcing & Staffing Services
,,,Executive Search Services
,,,Online Job Portals
,,,Business Support Services (NEC)
,,,Corporate Accounting Services
,,,Legal Services
,,,Management Consulting Services
,,,Security Services
,,,Cleaning Services
,,,Data Processing Services
,,,Industrial Equipment Rental
,,,Office Equipment & Supplies Rental
,,,Pest Control Services
,,,Maintenance & Repair Services
,,,Industrial Design Services
,,,Translation & Interpretation Services
,,,Testing Laboratories
,,,Call Center Services
,,,Exhibition & Conference Services
,,,Transaction & Payment Services
,,,Business Support Supplies (NEC)
,,,Office Furniture
,,,Office Supplies
,,,"Health, Safety & Fire Protection Equipment"
,,,Office Supplies Wholesale
,,,Professional Information Services (NEC)
,,,Financial Information Providers
,,,Compliance & Investor Communication
,,,Rating Agencies
,,,Trade & Business Publishing
,,,Legal & Tax Information Providers
,,,Education & Training Information Providers
,,,Journals & Scholarly Research
,,,News Agencies
,,,Libraries & Archives
,Transportation,Freight & Logistics Services,"Courier, Postal, Air Freight & Land-based Logistics (NEC)"
,,,Freight Logistics
,,,Air Freight
,,,Courier Services
,,,Integrated Logistics Operators
,,,Marine Freight & Logistics (NEC)
,,,Marine Logistics
,,,Inland Water Freight
,,,Deep Sea Freight
,,,Ground Freight & Logistics (NEC)
,,,Railway Freight Operators
,,,Freight Trucking
,,,Warehousing
,,,Truck Rental
,,Passenger Transportation Services,Airlines (NEC)
